Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
1557,1885,Mal neo bladder neck,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1558,1886,Mal neo ureteric orifice,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1559,1887,Malig neo urachus,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1560,1888,Malig neo bladder NEC,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1561,1889,Malig neo bladder NOS,Bladder cncr,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1562,1890,Malig neopl kidney,Kidny/rnl ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",Kidney Diseas,"Pulmonary, Super Low"
1563,1891,Malig neo renal pelvis,Kidny/rnl ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1564,1892,Malign neopl ureter,Uriny org ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1565,1893,Malign neopl urethra,Uriny org ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1566,1894,Mal neo paraurethral,Uriny org ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Pulmonary, Super Low"
1567,1898,Mal neo urinary NEC,Uriny org ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1568,1899,Mal neo urinary NOS,Uriny org ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",Kidney Diseas,"Cancer, Low"
1569,1900,Malign neopl eyeball,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1570,1901,Malign neopl orbit,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1571,1902,Mal neo lacrimal gland,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1572,1903,Mal neo conjunctiva,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1573,1904,Malign neopl cornea,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1574,1905,Malign neopl retina,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1575,1906,Malign neopl choroid,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1576,1907,Mal neo lacrimal duct,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1577,1908,Malign neopl eye NEC,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1578,1909,Malign neopl eye NOS,Ot primry ca,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Low"
1579,1910,Malign neopl cerebrum,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1580,1911,Malig neo frontal lobe,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1581,1912,Mal neo temporal lobe,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1582,1913,Mal neo parietal lobe,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1583,1914,Mal neo occipital lobe,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1584,1915,Mal neo cereb ventricle,Brain/ns can,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
